COMPANY,PRESENT ,HIGH,LOW,PREV.CLOSE,PREFERRED
Surana Ind.Ltd ,50.7,69.35,44.15,53.15,buy
adani ports,45.85,68.5,31.9,45.2,buy
SREI Infrastructure ,43.65,57.55,19.35,43.8,buy
ifci,38.5,44.9,21.8,38.1,sell
welspun projects,35.35,35.4,8,33.7,buy
zeel,34.55,42.3,22.5,34.7,buy
TV18 Broadcast ,29.5,38.4,18.8,29.3,buy
ibsec,25,30.65,15.75,24.85,buy
jppower,14.37,26.6,11.2,13.54,sell
suzlon,14.25,36.8,8.2,14.23,buy
link pharma,9.55,12.45,4.19,10.01,buy
